timestamp,funding_rate,open_interest,open_interest_value,global_long_short_ratio,global_long_account,global_short_account,taker_buy_sell_ratio,taker_buy_vol,taker_sell_vol,fundamental_source_age_hours
2026-08-25 09:00:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 09:15:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 09:30:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 09:45:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 10:00:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 10:15:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 10:30:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 10:45:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 11:00:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 11:15:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 11:30:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 11:45:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 12:00:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 12:15:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 12:30:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 12:45:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 13:00:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 13:15:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 13:30:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 13:45:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
2026-08-25 14:00:00,6.452e-05,104732.195,6786510084.1465,1.5221,0.6035,0.3965,0.6774,188.644,278.502,0.0
